cell_type	element_category	distance_category	ubiq_category	n_pairs
K562	CTCF element	0-10 kb	Other gene	2567
K562	CTCF element	0-10 kb	Ubiq. expr. gene	488
K562	CTCF element	1 Mb-2 Mb	Other gene	246405
K562	CTCF element	1 Mb-2 Mb	Ubiq. expr. gene	67458
K562	CTCF element	10-100 kb	Other gene	27869
K562	CTCF element	10-100 kb	Ubiq. expr. gene	7147
K562	CTCF element	100-250 kb	Other gene	44523
K562	CTCF element	100-250 kb	Ubiq. expr. gene	12327
K562	CTCF element	250 kb-1 Mb	Other gene	203465
K562	CTCF element	250 kb-1 Mb	Ubiq. expr. gene	56688
K562	H3K27ac	0-10 kb	Other gene	11538
K562	H3K27ac	0-10 kb	Ubiq. expr. gene	2807
K562	H3K27ac	1 Mb-2 Mb	Other gene	595027
K562	H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	159278
K562	H3K27ac	10-100 kb	Other gene	86989
K562	H3K27ac	10-100 kb	Ubiq. expr. gene	23700
K562	H3K27ac	100-250 kb	Other gene	127926
K562	H3K27ac	100-250 kb	Ubiq. expr. gene	34417
K562	H3K27ac	250 kb-1 Mb	Other gene	524419
K562	H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	143629
K562	H3K27me3 element	0-10 kb	Other gene	679
K562	H3K27me3 element	0-10 kb	Ubiq. expr. gene	31
K562	H3K27me3 element	1 Mb-2 Mb	Other gene	58726
K562	H3K27me3 element	1 Mb-2 Mb	Ubiq. expr. gene	15146
K562	H3K27me3 element	10-100 kb	Other gene	6896
K562	H3K27me3 element	10-100 kb	Ubiq. expr. gene	1668
K562	H3K27me3 element	100-250 kb	Other gene	11525
K562	H3K27me3 element	100-250 kb	Ubiq. expr. gene	3431
K562	H3K27me3 element	250 kb-1 Mb	Other gene	50991
K562	H3K27me3 element	250 kb-1 Mb	Ubiq. expr. gene	14189
K562	High H3K27ac	0-10 kb	Other gene	4735
K562	High H3K27ac	0-10 kb	Ubiq. expr. gene	1192
K562	High H3K27ac	1 Mb-2 Mb	Other gene	156264
K562	High H3K27ac	1 Mb-2 Mb	Ubiq. expr. gene	40947
K562	High H3K27ac	10-100 kb	Other gene	23560
K562	High H3K27ac	10-100 kb	Ubiq. expr. gene	6328
K562	High H3K27ac	100-250 kb	Other gene	34534
K562	High H3K27ac	100-250 kb	Ubiq. expr. gene	9411
K562	High H3K27ac	250 kb-1 Mb	Other gene	139294
K562	High H3K27ac	250 kb-1 Mb	Ubiq. expr. gene	37641
K562	No H3K27ac	0-10 kb	Other gene	5017
K562	No H3K27ac	0-10 kb	Ubiq. expr. gene	855
K562	No H3K27ac	1 Mb-2 Mb	Other gene	380802
