
cell_type	feature	quantile	value
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.1	0.942195191611951
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.25	5.58948126104237
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.3	7.95515364467825
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.35	10.5477585300227
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.4	13.6231726299295
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.5	21.1062078003476
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.6	30.9115090675199
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.7	45.7723282858014
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.75	57.780717915019
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.85	107.148573988867
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.9	1958.9624
GM12878	CTCF.H3K27ac.expandedRegion.ratio	0.95	5964.0072
GM12878	CTCF.H3K27ac.ratio	0.1	1.35339087207232
GM12878	CTCF.H3K27ac.ratio	0.25	7.96753838031133
GM12878	CTCF.H3K27ac.ratio	0.3	11.2989146624186
GM12878	CTCF.H3K27ac.ratio	0.35	15.1638574520528
GM12878	CTCF.H3K27ac.ratio	0.4	19.7169392123902
GM12878	CTCF.H3K27ac.ratio	0.5	31.1056804929786
GM12878	CTCF.H3K27ac.ratio	0.6	47.2798220762123
GM12878	CTCF.H3K27ac.ratio	0.7	75.195631486679
GM12878	CTCF.H3K27ac.ratio	0.75	101.695044532323
GM12878	CTCF.H3K27ac.ratio	0.85	3136.494
GM12878	CTCF.H3K27ac.ratio	0.9	5353.302
GM12878	CTCF.H3K27ac.ratio	0.95	8065.869
H1	CTCF.H3K27ac.expandedRegion.ratio	0.1	2.55765150813521
H1	CTCF.H3K27ac.expandedRegion.ratio	0.25	5.44646112487607
H1	CTCF.H3K27ac.expandedRegion.ratio	0.3	6.58973256609805
H1	CTCF.H3K27ac.expandedRegion.ratio	0.35	7.72853638143854
H1	CTCF.H3K27ac.expandedRegion.ratio	0.4	8.981682563327
H1	CTCF.H3K27ac.expandedRegion.ratio	0.5	11.6059990967729
H1	CTCF.H3K27ac.expandedRegion.ratio	0.6	14.6330713931906
H1	CTCF.H3K27ac.expandedRegion.ratio	0.7	18.4004575566769
H1	CTCF.H3K27ac.expandedRegion.ratio	0.75	20.7277566404886
H1	CTCF.H3K27ac.expandedRegion.ratio	0.85	27.3403448379954
H1	CTCF.H3K27ac.expandedRegion.ratio	0.9	32.8248137317351
H1	CTCF.H3K27ac.expandedRegion.ratio	0.95	43.5214356418462
H1	CTCF.H3K27ac.ratio	0.1	3.65654085896529
H1	CTCF.H3K27ac.ratio	0.25	7.97613613403875
H1	CTCF.H3K27ac.ratio	0.3	9.70161621814767
H1	CTCF.H3K27ac.ratio	0.35	11.4943813928072
H1	CTCF.H3K27ac.ratio	0.4	13.4429984618633
H1	CTCF.H3K27ac.ratio	0.5	17.5725903571783
H1	CTCF.H3K27ac.ratio	0.6	22.3760111650679
H1	CTCF.H3K27ac.ratio	0.7	28.6570632333652
H1	CTCF.H3K27ac.ratio	0.75	32.6525204124796
H1	CTCF.H3K27ac.ratio	0.85	44.3841698397491
H1	CTCF.H3K27ac.ratio	0.9	54.9635930363548
H1	CTCF.H3K27ac.ratio	0.95	77.1511077726629
H9	CTCF.H3K27ac.expandedRegion.ratio	0.1	1.5432684633813
H9	CTCF.H3K27ac.expandedRegion.ratio	0.25	3.04286561047127
H9	CTCF.H3K27ac.expandedRegion.ratio	0.3	3.71155088055872
H9	CTCF.H3K27ac.expandedRegion.ratio	0.35	4.46278665610655
H9	CTCF.H3K27ac.expandedRegion.ratio	0.4	5.26946858621104
H9	CTCF.H3K27ac.expandedRegion.ratio	0.5	7.20267948830515
H9	CTCF.H3K27ac.expandedRegion.ratio	0.6	9.44435182877436
H9	CTCF.H3K27ac.expandedRegion.ratio	0.7	12.0930029290566
H9	CTCF.H3K27ac.expandedRegion.ratio	0.75	13.6447648487704
H9	CTCF.H3K27ac.expandedRegion.ratio	0.85	18.0557935953575
H9	CTCF.H3K27ac.expandedRegion.ratio	0.9	21.6519586595271
H9	CTCF.H3K27ac.expandedRegion.ratio	0.95	28.5152423869052
H9	CTCF.H3K27ac.ratio	0.1	2.01048935137147
H9	CTCF.H3K27ac.ratio	0.25	4.10573049986988
H9	CTCF.H3K27ac.ratio	0.3	4.98871251298696
H9	CTCF.H3K27ac.ratio	0.35	6.00177106498985
H9	CTCF.H3K27ac.ratio	0.4	7.08438748577357
H9	CTCF.H3K27ac.ratio	0.5	9.73321233060591
H9	CTCF.H3K27ac.ratio	0.6	12.8111312312913
H9	CTCF.H3K27ac.ratio	0.7	16.6807435950255
H9	CTCF.H3K27ac.ratio	0.75	19.028531329129
H9	CTCF.H3K27ac.ratio	0.85	25.7909252423391
H9	CTCF.H3K27ac.ratio	0.9	31.4213562219317
H9	CTCF.H3K27ac.ratio	0.95	43.6524045227208
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.1	2.21338397105823
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.25	5.09455599533414
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.3	6.00467604636629
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.35	6.95963876710549
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.4	7.98078612781895
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.5	10.2838080488407
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.6	13.0204252989834
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.7	16.6602699782005
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.75	18.9967839764345
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.85	26.0200008798041
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.9	32.3677591408761
HCT116	CTCF.H3K27ac.expandedRegion.ratio	0.95	44.4736244325436
HCT116	CTCF.H3K27ac.ratio	0.1	3.1519386831876
HCT116	CTCF.H3K27ac.ratio	0.25	7.37594115245483
HCT116	CTCF.H3K27ac.ratio	0.3	8.7980758532743
HCT116	CTCF.H3K27ac.ratio	0.35	10.2344068225836
HCT116	CTCF.H3K27ac.ratio	0.4	11.8672208827282
HCT116	CTCF.H3K27ac.ratio	0.5	15.3958789296917
HCT116	CTCF.H3K27ac.ratio	0.6	19.7942807895223
HCT116	CTCF.H3K27ac.ratio	0.7	25.8695396690744
HCT116	CTCF.H3K27ac.ratio	0.75	29.955618554552
HCT116	CTCF.H3K27ac.ratio	0.85	42.6988942335412
HCT116	CTCF.H3K27ac.ratio	0.9	55.1284591447409
HCT116	CTCF.H3K27ac.ratio	0.95	81.3254619570085
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.1	0.532107804150293
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.25	1.52103321439271
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.3	1.92745033803106
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.35	2.38133451413597
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.4	2.87053604797018
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.5	3.92116472730219
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.6	5.14650374696936
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.7	6.59176005094511
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.75	7.49896982315751
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.85	10.0864067539366
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.9	12.1083912670397
Jurkat	CTCF.H3K27ac.expandedRegion.ratio	0.95	15.8119539941733
Jurkat	CTCF.H3K27ac.ratio	0.1	0.757739797923312
Jurkat	CTCF.H3K27ac.ratio	0.25	2.22648805121812
Jurkat	CTCF.H3K27ac.ratio	0.3	2.86820819909759
Jurkat	CTCF.H3K27ac.ratio	0.35	3.54387213052552
Jurkat	CTCF.H3K27ac.ratio	0.4	4.3075712737691
Jurkat	CTCF.H3K27ac.ratio	0.5	5.93827143486886
Jurkat	CTCF.H3K27ac.ratio	0.6	7.81923649583179
Jurkat	CTCF.H3K27ac.ratio	0.7	10.2046475195822
Jurkat	CTCF.H3K27ac.ratio	0.75	11.6408528501989
